,Maturity (in days),Strike,Bid,Ask,r,q,Forward Price
0,2,1405,4.4,5.6,0.2781066,0.5471396,1411.850098
1,2,1410,6.1,7.0,0.2781066,0.5471396,1411.75
2,2,1415,8.3,9.8,0.2781066,0.5471396,1411.449951
3,2,1420,11.1,12.8,0.2781066,0.5471396,1411.699951
4,2,1425,14.5,16.7,0.2781066,0.5471396,1411.699951
5,24,1405,16.2,17.4,0.232443,1.531465,1410.550903
6,24,1410,18.1,19.4,0.232443,1.531465,1410.800171
7,24,1415,20.3,21.6,0.232443,1.531465,1410.549316
8,24,1420,22.7,24.1,0.232443,1.531465,1410.698975
9,24,1425,25.3,26.8,0.232443,1.531465,1410.547729
10,52,1405,27.9,29.8,0.3240174,2.108761,1407.851318
11,52,1410,29.9,31.9,0.3240174,2.108761,1407.999023
12,52,1415,32.1,34.2,0.3240174,2.108761,1407.996704
13,52,1420,34.4,36.6,0.3240174,2.108761,1407.944336
14,52,1425,36.9,39.1,0.3240174,2.108761,1408.092163
15,80,1405,38.1,41.9,0.4331506,2.099028,1406.30127
16,80,1410,40.2,44.5,0.4331506,2.099028,1406.496582
17,80,1415,42.3,46.3,0.4331506,2.099028,1406.291626
18,80,1420,44.6,48.7,0.4331506,2.099028,1406.537109
19,80,1425,47.0,53.6,0.4331506,2.099028,1406.382202
20,93,1375,32.6,34.1,0.4826605,2.081997,1405.738037
21,93,1400,41.0,42.8,0.4826605,2.081997,1405.807251
22,93,1425,51.6,53.6,0.4826605,2.081997,1405.82605
23,93,1450,64.8,68.7,0.4826605,2.081997,1405.043945
24,93,1475,80.1,84.9,0.4826605,2.081997,1405.66394
25,115,1375,38.5,40.6,0.5572296,1.981643,1404.051392
26,115,1400,47.2,49.0,0.5572296,1.981643,1404.407959
27,115,1425,57.8,60.2,0.5572296,1.981643,1404.213379
28,115,1450,70.6,73.4,0.5572296,1.981643,1404.269043
29,115,1475,86.2,89.2,0.5572296,1.981643,1404.124756
30,178,1375,55.7,58.3,0.7316633,2.089964,1400.039673
31,178,1400,64.8,66.8,0.7316633,2.089964,1400.45166
32,178,1425,75.4,77.6,0.7316633,2.089964,1400.311279
33,178,1450,87.7,89.6,0.7316633,2.089964,1400.22168
34,178,1475,102.0,104.5,0.7316633,2.089964,1400.332397
35,184,1375,57.9,60.7,0.7436823,2.098077,1399.140991
36,184,1400,67.0,70.0,0.7436823,2.098077,1399.146729
37,184,1425,77.7,81.1,0.7436823,2.098077,1399.001953
38,184,1450,88.5,93.4,0.7436823,2.098077,1399.859985
39,184,1475,102.3,108.2,0.7436823,2.098077,1399.714966
40,269,1375,77.1,79.5,0.8831472,2.154654,1393.822876
41,269,1400,86.8,90.3,0.8831472,2.154654,1393.306274
42,269,1425,97.6,100.4,0.8831472,2.154654,1393.594482
43,269,1450,110.5,112.6,0.8831472,2.154654,1393.631104
44,269,1475,122.9,126.2,0.8831472,2.154654,1393.516724
